id,customer,position,status,is_deleted,product_name
324,Novares,39B c.,null,false,null
327,Novares,39A h.,null,false,null
328,Novares,39B c.,null,false,null
329,Novares,39C c.,null,false,null
330,Novares,39A c.,null,false,null
331,Novares,39C c.,null,false,null
332,Novares,39C c.,null,false,null
334,Novares,40C b.,null,false,null
335,Novares,39B c.,null,false,null
336,Novares,39A m.,null,false,null
338,Novares,39B c.,null,false,null
339,Novares,39A c.,null,false,null
342,Novares,39D h.,null,false,null
357,Novares,39A m.,null,false,null
370,Others,43E b.,null,false,null
385,Others,37A c.,null,false,null
395,Others,51E c.,null,false,null
40,Škoda,48E z.,null,false,null
413,Scherdel,38B b.,null,false,null
414,Scherdel,38B b.,null,false,null
419,Witte,41A h.,null,false,null
422,Others,44C b.,null,false,null
429,Witte,41A m.,null,false,null
439,Others,37C h.,null,false,null
44,Witte,42A c.,null,false,null
440,Others,41A c.,null,false,null
442,Others,44C b.,null,false,null
443,Others,44C b.,null,false,null
444,Others,44C b.,null,false,null
445,Others,44C b.,null,false,null
453,Novares,40B b.,null,false,null
457,Novares,40C z.,null,false,null
458,Novares,40B b.,null,false,null
459,Novares,40B c.,null,false,null
460,Witte,42B b.,null,false,null
464,Witte,45C c.,null,false,null
465,Witte,43E c.,null,false,null
466,Witte,41C z.,null,false,null
472,Witte,43B z.,null,false,null
478,Witte,40B h.,null,false,null
484,Novares,40C b.,null,false,null
486,Witte,44A b.,null,false,null
492,Novares,40B h.,null,false,null
493,Novares,40A c.,null,false,null
494,Novares,40A c.,null,false,null
498,Witte,44B c.,null,false,null
505,Škoda,47B h.,null,false,null
507,Škoda,49D c.,null,false,null
508,Škoda,47A c.,null,false,null
509,Škoda,49C c.,null,false,null
511,Škoda,47B b.,null,false,null
514,Witte,43E b.,null,false,null
518,Witte,41C b.,null,false,null
519,Scherdel,37B h.,null,false,null
52,Scherdel,38B m.,null,false,null
520,Novares,39C c.,null,false,null
521,Novares,39A b.,null,false,null
522,Novares,39C m.,null,false,null
524,Scherdel,37B h.,null,false,null
525,Novares,39B h.,null,false,null
528,Novares,39C z.,null,false,null
538,Novares,39C h.,null,false,null
542,Witte,41B c.,null,false,null
543,Novares,39B b.,null,false,null
549,Scherdel,38B b.,null,false,null
550,Witte,42A c.,null,false,null
551,Witte,42A c.,null,false,null
554,Witte,41B b.,null,false,null
559,Scherdel,37C m.,null,false,null
580,Novares,39A m.,null,false,null
581,Novares,40A c.,null,false,null
