id,customer,position
1000,Witte,36C c.
1001,Others,51E z.
1002,Witte,48B c.
1003,Others,49E b.
1004,Others,49E b.
1005,Others,51D z.
1006,Škoda,48A h.
1007,Witte,43D z.
1008,Witte,43D z.
1009,Witte,43D z.
1010,Witte,43D z.
1011,Others,45E m.
1012,Witte,36A m.
1013,Witte,36A m.
1014,Witte,36B m.
1015,Witte,36B m.
1016,Witte,36B m.
1017,Škoda,51B c.
1018,Witte,51B c.
1019,Witte,Mezisklad
1020,Witte,49E h.
1021,Witte,49E c.
1022,Witte,47G c.
1023,Witte,47G c.
1024,Witte,43D z.
1025,Witte,43D z.
1026,Witte,Mezisklad
1027,Witte,Mezisklad
1028,Witte,Mezisklad
126,Scherdel,37C h.
127,Scherdel,37C h.
137,Mubea,51E c.
14,Novares,36A z.
143,Witte,41C h.
15,Novares,36A z.
158,Others,44C z.
165,Mubea,51E b.
167,Others,44C h.
168,Others,44C h.
171,Scherdel,37C h.
175,Ideal,45C b.
178,Ideal,45B m.
180,Ideal,45B m.
182,Ideal,45C b.
184,Novares,40A c.
186,Novares,39C b.
187,Novares,40B z.
188,Novares,39B b.
191,Novares,39A m.
196,Novares,39A h.
20,Škoda,50A m.
208,Others,44C h.
209,Novares,39B b.
21,Škoda,49C b.
210,Novares,39B m.
212,Novares,39B h.
213,Novares,39B h.
22,Škoda,50A m.
221,Mubea,51E c.
225,Novares,39C b.
23,Škoda,51B b.
233,Witte,41B h.
237,Others,51C m.
239,Others,45D e.
24,Škoda,51C z.
242,Others,51E h.
243,Novares,39A h.
26,Novares,39B z.
264,Novares,40B m.
265,Novares,40C h.
267,Others,44C h.
270,Others,37B c.
271,Others,51C m.
276,Witte,41A m.
277,Witte,42A h.
278,Witte,41C c.
279,Witte,41C b.
28,Novares,36B z.
280,Witte,42A h.
281,Witte,41A h.
283,Others,44C b.
284,Witte,41A h.
285,Witte,41A h.
286,Witte,42B h.
287,Witte,41B h.
288,Witte,41B h.
289,Witte,41B b.
29,Witte,Mezisklad
290,Witte,42A h.
291,Witte,42A h.
292,Witte,42A h.
293,Witte,41B h.
294,Witte,41B h.
298,Witte,41B m.
299,Others,51E h.
30,Witte,Mezisklad
308,Witte,41B m.
309,Witte,41B m.
310,Witte,42A h.
311,Witte,41B m.
312,Witte,41C m.
318,Novares,39A m.
320,Novares,40A m.
321,Novares,39A h.
322,Novares,39B h.
323,Novares,39B h.
324,Novares,39A h.
327,Novares,39C h.
328,Novares,39B h.
329,Novares,39C h.
33,Witte,41C z.
330,Novares,39A h.
331,Novares,39C h.
332,Novares,39C h.
333,Novares,39B h.
334,Novares,40C h.
335,Novares,39B h.
336,Novares,39A h.
337,Novares,39A h.
338,Novares,39B b.
339,Novares,39A h.
34,Škoda,49D b.
342,Novares,39B h.
343,Witte,41B c.
347,Witte,41C m.
35,Others,Mezisklad
350,Witte,41C m.
351,Witte,41A m.
353,Witte,41A m.
356,Witte,41C m.
357,Novares,39A h.
36,Others,44B h.
360,Others,51E h.
361,Witte,41A h.
362,Witte,41B m.
363,Witte,41C b.
364,Witte,41A m.
368,Novares,40A m.
369,Novares,40A m.
370,Witte,43E b.
38,Others,44B h.
382,Scherdel,37C h.
383,Witte,41A m.
384,Novares,40B b.
385,Others,37A c.
388,AFSI,37B c.
389,Škoda,50B m.
39,Škoda,49E m.
390,Škoda,48A h.
391,Witte,42C c.
392,Witte,41B c.
395,Others,51E h.
397,Novares,40A b.
398,Witte,41B b.
399,Others,51E h.
40,Škoda,49E m.
400,Witte,41C c.
401,Witte,42B h.
402,Škoda,48B b.
403,Škoda,47A b.
404,Škoda,47A b.
405,Witte,41C z.
406,Witte,41C h.
407,Witte,41C c.
408,Novares,40A z.
41,Škoda,52B c.
410,Škoda,47B h.
411,Škoda,47B h.
412,Witte,41B c.
413,Scherdel,38B b.
414,Scherdel,38B b.
417,Witte,41B b.
418,Witte,43C m.
419,Witte,41A m.
42,Škoda,52B c.
420,Witte,41A h.
422,Others,44C b.
426,Škoda,47A h.
427,Škoda,47A h.
428,Škoda,47A h.
429,Witte,41A h.
43,Others,Mezisklad
431,Škoda,47B h.
432,Others,45C c.
434,Witte,41A c.
435,Witte,42B h.
438,Witte,41A h.
439,Others,37C h.
44,Witte,42A z.
440,Others,41A c.
441,Witte,41B b.
442,Others,44C z.
443,Others,44C z.
444,Others,44C b.
445,Others,44C b.
446,Witte,41A c.
452,Novares,40A b.
453,Novares,40A b.
454,Novares,40A h.
455,Novares,40A h.
456,Novares,40A h.
457,Novares,40B z.
458,Novares,40B b.
459,Novares,40B z.
460,Witte,42B z.
461,Others,37A c.
462,Witte,44B h.
463,Witte,43B c.
464,Witte,44A c.
465,Witte,44A c.
466,Witte,41C č.
469,Mubea,51E m.
470,Witte,43D b.
471,Witte,44B c.
472,Witte,43B c.
473,Witte,44A h.
474,Witte,43D c.
475,Witte,43D c.
476,Witte,40B h.
477,Witte,44A h.
478,Witte,43D b.
479,Witte,40B h.
