Číslo formy,Název výroby,Zákazník,Pozice,Stav,Původní pozice,Návodka (URL),Fotografie formy,Smazáno
1000,null,Witte,36C c.,null,,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1000_01000_Washer_Front_L_R.pdf"", ""title"" : ""Návodka""}]",null,false
1001,null,Others,51E z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1001_01001_Unterschale_Lenkstockverkleidung.pdf"", ""title"" : ""Návodka""}]",null,false
1002,null,Witte,48B c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1002_01002_Prallplatte.pdf"", ""title"" : ""Návodka""}]",null,false
1003,null,Others,49E b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1003_01003_Aufnahme_Start_Stop.pdf"", ""title"" : ""Návodka""}]",null,false
1004,null,Others,49E b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1004_01004_Aufnahme_UIF_Senzor.pdf"", ""title"" : ""Návodka""}]",null,false
1005,null,Others,51D z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1005_01005_Oberschale_Lenkstockverkleidung.pdf"", ""title"" : ""Návodka""}]",null,false
1006,null,Škoda,48A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1006_01006_Clip.pdf"", ""title"" : ""Návodka""}]",null,false
1007,null,Witte,43D z.,null,null,null,null,false
1008,null,Witte,43D z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1008_01008_Matte_RL.pdf"", ""title"" : ""Návodka""}]",null,false
1009,null,Witte,43D z.,null,null,null,null,false
1010,null,Witte,43D z.,null,null,null,null,false
1011,null,Others,45E m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1011_01011_Panel_f._Screw.pdf"", ""title"" : ""Návodka""}]",null,false
1012,null,Witte,36A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1012_01012_Cover.pdf"", ""title"" : ""Návodka""}]",null,false
1013,null,Witte,36A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1013_01013_Cover_Striker.pdf"", ""title"" : ""Návodka""}]",null,false
1014,null,Witte,36B m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1014_01014_Sperrklinke_GOB.pdf"", ""title"" : ""Návodka""}]",null,false
1015,null,Witte,36B m.,null,null,null,null,false
1016,null,Witte,36B m.,null,null,null,null,false
1017,null,Škoda,51B c.,,null,null,null,false
1018,null,Witte,51B c.,null,null,null,null,false
1019,null,Witte,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1019_01019_Luftverteiler_Frontscheibe.pdf"", ""title"" : ""Návodka""}]",null,false
1020,null,Witte,49E h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1020_01020_Aufnahmeteil_Crashclip_Li.pdf"", ""title"" : ""Návodka""}]",null,false
1021,null,Witte,49E c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1021_01021_Aufnahmeteil_Crashclip_Re.pdf"", ""title"" : ""Návodka""}]",null,false
1022,null,Witte,47G c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1022_01022_Aufnahmeteil_Befestigungsclip_Li.pdf"", ""title"" : ""Návodka""}]",null,false
1023,null,Witte,47G c.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1023_01023_Aufnahmeteil_Befestigungsclip_Re.pdf"", ""title"" : ""Návodka""}]",null,false
1024,null,Witte,43D z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1024_01024_Warmwestenfach_Vorn_Li.pdf"", ""title"" : ""Návodka""}]",null,false
1025,null,Witte,43D z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1025_01025_Warmwestenfach_Vorn_Re.pdf"", ""title"" : ""Návodka""}]",null,false
1026,null,Witte,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1026_01026_Aufnahme_Dichtring_Li.pdf"", ""title"" : ""Návodka""}]",null,false
1027,null,Witte,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1027_01027_Aufnahme_Dichtring_LSP_Re.pdf"", ""title"" : ""Návodka""}]",null,false
1028,null,Witte,Mezisklad,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1028_01028_Aufnahme_Dichtring_LSP_Hinten_Li.pdf"", ""title"" : ""Návodka""}]",null,false
126,null,Scherdel,37C h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/126_Ventil_fialovy_beze_skla_forma_00126.pdf"", ""title"" : ""Návodka""}]",null,false
127,null,Scherdel,37C h.,null,null,null,null,false
137,null,Mubea,51E c.,null,null,null,null,false
14,null,Novares,36A z.,,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/14_Kombihalter_RL_43867_00014.pdf"", ""title"" : ""Návodka""}]",null,false
143,null,Witte,41C h.,null,null,null,null,false
15,null,Novares,36A z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/15_Kombihalter_LL_43860_00015.pdf"", ""title"" : ""Návodka""}]",null,false
158,null,Others,44C z.,null,null,null,null,false
165,null,Mubea,51E b.,null,null,null,null,false
167,null,Others,44C h.,null,null,null,null,false
168,null,Others,44C h.,null,null,null,null,false
171,null,Scherdel,37C h.,null,null,null,null,false
175,null,Ideal,45C b.,null,null,null,null,false
178,null,Ideal,45B m.,null,null,null,null,false
180,null,Ideal,45B m.,null,null,null,null,false
182,null,Ideal,45C b.,null,null,null,null,false
184,null,Novares,40A c.,null,null,null,null,false
186,null,Novares,39C b.,null,null,null,null,false
187,null,Novares,40B z.,null,null,null,null,false
188,null,Novares,39B b.,null,null,null,null,false
191,null,Novares,39A m.,null,null,null,null,false
196,null,Novares,39A h.,null,null,null,null,false
20,null,Škoda,50A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/20_00020_Nosic_motoru_00020.pdf"", ""title"" : ""Návodka""}]",null,false
208,null,Others,44C h.,null,null,null,null,false
209,null,Novares,39B b.,null,null,null,null,false
21,null,Škoda,49C b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/21_00021_Zajistovaci_dil_L_R_00021.pdf"", ""title"" : ""Návodka""}]",null,false
210,null,Novares,39B m.,null,null,null,null,false
212,null,Novares,39B h.,null,null,null,null,false
213,null,Novares,39B h.,null,null,null,null,false
22,null,Škoda,50A m.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/22_00022_Fixacni_dil_L_R_00022.pdf"", ""title"" : ""Návodka""}]",null,false
221,null,Mubea,51E c.,null,null,null,null,false
225,null,Novares,39C b.,null,null,null,null,false
